filename,tid,t_name
5b93df032e230056c21a3e57334f77d1,T1562.004,Impair Defenses: Disable or Modify System Firewall
b6e5c895c6709fe289352ee23f062229,T1547.009,Boot or Logon Autostart Execution: Shortcut Modification
665432a4-42e7-4ee1-af19-a9a8c9455d0c,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control
72249c1e9ffe7d8f30243d838e0791ca,T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness
5dc841fd-28ad-40e2-b10e-fb007fe09e81,T1497.001,Virtualization/Sandbox Evasion: System Checks
9f73269695e54311dd61dc68940fb3e1,T1003.003,OS Credential Dumping: NTDS
af8cb2bf9b436aae5c106a0a9c207e14,T1219,Remote Access Software
163b023f43aba758d36f524d146cb8ea,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
e5bcefee-262d-4568-a261-e8a20855ec81,T1055.002,Process Injection: Portable Executable Injection
e8017c46-acb8-400c-a4b5-b3362b5b5baa,T1016,System Network Configuration Discovery
60f63260-39bb-4136-87a0-b6c2dca799fc,T1105,Ingress Tool Transfer
4b71ebb2f6f6a01235ba240fa40ce978,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
a74bc239-a196-4f7e-8d5c-fe8c0266071c,T1055.001,Process Injection: Dynamic-link Library Injection
344e7eaf650763e0d3e9f02e62c1cf4b,T1119,Automated Collection
f7a0f7d704aa52a764d9d1bee81e65d6,T1217,Browser Bookmark Discovery
2fe2d5e6-7b06-4fc0-bf71-6966a1226731,T1499,Endpoint Denial of Service
280003641a5cddf916c4f2bf605a71d3,T1562.004,Impair Defenses: Disable or Modify System Firewall
0ef4cc7b-611c-4237-b20b-db36b6906554,T1003.001,OS Credential Dumping: LSASS Memory
0dbdf1a2a87e718a6ac8a8e3415a7fac,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
1095434782a00c8a4772a11e625bcf5d,T1105,Ingress Tool Transfer
d82ceb9939d3d920ee550187ad8235c8,T1486,Data Encrypted for Impact
fd992e8ecfdac9b56dd6868904044827,T1112,Modify Registry
35d92515122effdd73801c6ac3021da7,T1003.001,OS Credential Dumping: LSASS Memory
6e1a53c0-7352-4899-be35-fa7f364d5722,T1083,File and Directory Discovery
1f91076e2be2014cc7b4f1296de02fd6,T1070.005,Indicator Removal on Host: Network Share Connection Removal
d6bb2a19da7246731ed9c44831b135f8,T1007,System Service Discovery
6103e503cb444bc7b4187704f2035708,T1069.002,Permission Groups Discovery: Domain Groups
257313a3c93e3bb7dfb60d6753b09e34,T1112,Modify Registry
d0ca00832890baa1d42322cf70fcab1a,T1078.001,Valid Accounts: Default Accounts
c8f329d2847ede593b6cb4a1ec6120fb,T1490,Inhibit System Recovery
62cfa90fb03a6bc1a6ebcce8a3ea81b7,T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows)
4f683658f161ccdc51337c470d32bab9,T1105,Ingress Tool Transfer
f38e58deb7ad20b5538ca40db7b7b4f8,T1059.003,Command and Scripting Interpreter: Windows Command Shell
47d08617-5ce1-424a-8cc5-c9c978ce6bf9,T1491,Defacement
6c318ef0339d74d909ad556681b6493e,T1059.003,Command and Scripting Interpreter: Windows Command Shell
530e47c6-8592-42bf-91df-c59ffbd8541b,T1135,Network Share Discovery
fe9eeee9a7b339089e5fa634b08522c1,T1547,Boot or Logon Autostart Execution
1afaec09315ab71fdfb167175e8a019a,T1566.001,Phishing: Spearphishing Attachment
f8de05d1741dcc468f772ab0ff4dac72,T1057,Process Discovery
cab7b85611a290c0769546bfa9d6f962,T1112,Modify Registry
57296a2ddbeb7423c05feef2fe972111,T1201,Password Policy Discovery
4bfb5f265a5ce07af6bf10da113af7db,T1112,Modify Registry
7de3d7b4922a7b996d8df36fb22bb118,T1036.004,Masquerading: Masquerade Task or Service
b8453a5fe06b24aea12b27592d5c3d3a,T1518.001,Software Discovery: Security Software Discovery
09e0f9cf2eb803a1c35deeecf3665fad,T1047,Windows Management Instrumentation
71b3d2945679566b9d94d8cb11df4b70,T1016,System Network Configuration Discovery
fa6e8607-e0b1-425d-8924-9b894da5a002,T1124,System Time Discovery
38f6f0e50a6b196140ec40d3dc9cc9e6,T1201,Password Policy Discovery
24c3b7b004401d839a5c337201da3484,T1071.001,Application Layer Protocol: Web Protocols
2d53d6fabd39bf9c70b0dfcdfbbc926d,T1490,Inhibit System Recovery
8fe59e288f10a486dc8b44bc872019ff,T1562.004,Impair Defenses: Disable or Modify System Firewall
501af516bd8b24fee0c7c650ae5cc861,T1547.009,Boot or Logon Autostart Execution: Shortcut Modification
1f0614ea5c4af6faf1b44570f5f22f8a,T1036.004,Masquerading: Masquerade Task or Service
b007fe0c-c6b0-4fda-915c-255bbc070de2,T1115,Clipboard Data
69bbe2183fa09c00ccaac62d48e214f8,T1217,Browser Bookmark Discovery
4593d72a5145e3f494421ac772d37464,T1547.010,Boot or Logon Autostart Execution: Port Monitors
638fb6bb-ba39-4285-93d1-7e4775b033a8,T1049,System Network Connections Discovery
f049b89533298c2d6cd37a940248b219,T1003.003,OS Credential Dumping: NTDS
8adf02e8-6e71-4244-886c-98c402857404,T1057,Process Discovery
e6715e61f5df646692c624b3499384c4,T1105,Ingress Tool Transfer
7dabcbecab0334b115feefab1630f84a,T1219,Remote Access Software
18f31c311ac208802e88ab8d5af8603e,T1003,OS Credential Dumping
921055f4-5970-4707-909e-62f594234d91,T1016,System Network Configuration Discovery
6131397e-7765-424e-a594-3d7fb2d93a6a,T1482,Domain Trust Discovery
f4b0b4129560ea66f9751275e82f6bab,T1047,Windows Management Instrumentation
28862487a99f5f89bc0d68c87396c7e9,T1564.004,Hide Artifacts: NTFS File Attributes
66a5fd5f244819181f074dd082a28905,T1564.001,Hide Artifacts: Hidden Files and Directories
a0676fe1-cd52-482e-8dde-349b73f9aa69,T1016,System Network Configuration Discovery
7121cdf93b951311be9d7078c602efdc,T1119,Automated Collection
