cluster,LogID,ConcatenatedLog
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_34,Thread Create SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_35,RegOpenKey HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_36,RegOpenKey HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_37,RegQueryValue HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default) SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_38,RegQueryValue HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000603xx SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_39,RegOpenKey HKLM\SYSTEM\CurrentControlSet\Control\Session Manager REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_40,RegOpenKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_41,RegQueryValue HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_42,RegCloseKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_43,RegOpenKey HKLM\SYSTEM\CurrentControlSet\Control\Session Manager REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_44,RegOpenKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_45,RegQueryValue HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_46,RegCloseKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_47,RegOpenKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
3,00e4883d-a791-4e87-8786-0c9fc7ba2478_48,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_49,RegOpenKey HKLM\SOFTWARE\Microsoft\OLE SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_50,RegQueryValue HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorUseSystemHeap NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_51,RegCloseKey HKLM\SOFTWARE\Microsoft\Ole SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_52,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
0,00e4883d-a791-4e87-8786-0c9fc7ba2478_53,RegOpenKey HKLM\SOFTWARE\Microsoft\OLE SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_54,RegQueryValue HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorSystemHeapIsPrivate NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_55,RegCloseKey HKLM\SOFTWARE\Microsoft\Ole SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_56,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_57,RegOpenKey HKLM\SOFTWARE\Microsoft\OLE SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_58,RegQueryValue HKLM\SOFTWARE\Microsoft\Ole\AggressiveMTATesting NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_59,RegCloseKey HKLM\SOFTWARE\Microsoft\Ole SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
3,00e4883d-a791-4e87-8786-0c9fc7ba2478_60,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_61,RegOpenKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_62,RegSetInfoKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_63,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_64,RegOpenKey HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_65,RegOpenKey HKLM\SOFTWARE\Microsoft\AppModel\Lookaside\Packages NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_66,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_67,RegOpenKey HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_68,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_69,RegOpenKey HKLM\Software\Microsoft\Ole SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_70,RegQueryKey HKLM SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_71,RegOpenKey HKLM\Software\Microsoft\OLE\Tracing NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
1,00e4883d-a791-4e87-8786-0c9fc7ba2478_72,QueryNameInformationFile C:\Windows\System32\cmd.exe SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_73,RegOpenKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_74,RegOpenKey HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_75,RegCloseKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_76,RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_77,RegOpenKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_78,RegOpenKey HKCU\Software\Policies\Microsoft\Control Panel\Desktop NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_79,RegOpenKey HKCU\Control Panel\Desktop\LanguageConfiguration NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_80,RegCloseKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_81,RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_82,RegOpenKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_83,RegOpenKey HKCU\Software\Policies\Microsoft\Control Panel\Desktop NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_84,RegOpenKey HKCU\Control Panel\Desktop SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_85,RegQueryValue HKCU\Control Panel\Desktop\PreferredUILanguages NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_86,RegCloseKey HKCU\Control Panel\Desktop SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_87,RegCloseKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_88,RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_89,RegOpenKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_90,RegOpenKey HKCU\Control Panel\Desktop\MuiCached SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_91,RegQueryValue HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages BUFFER OVERFLOW cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_92,RegQueryValue HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_93,RegCloseKey HKCU\Control Panel\Desktop\MuiCached SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_94,RegCloseKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_95,RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_96,RegOpenKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_97,RegOpenKey HKCU\Software\Policies\Microsoft\Control Panel\Desktop NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_98,RegOpenKey HKCU\Control Panel\Desktop SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_99,RegQueryValue HKCU\Control Panel\Desktop\PreferredUILanguages NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_100,RegCloseKey HKCU\Control Panel\Desktop SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_101,RegCloseKey HKCU SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_102,RegOpenKey HKLM\Software\Policies\Microsoft\MUI\Settings NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
